longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value,address
-119.79,36.73,52.0,112.0,28.0,193.0,40.0,1.975,INLAND,47500.0,"H Street, Fresno, Fresno County, California, 93721, United States"
-122.21,37.77,43.0,1017.0,328.0,836.0,277.0,2.2604,NEAR BAY,100000.0,"4825;4829, International Boulevard, Melrose, East Oakland, Oakland, Alameda County, California, 94601, United States"
-118.04,33.87,17.0,2358.0,396.0,1387.0,364.0,6.299,<1H OCEAN,285800.0,"17723, Gerritt Avenue, Cerritos, Los Angeles County, California, 90703, United States"
-118.28,34.06,17.0,2518.0,1196.0,3051.0,1000.0,1.7199,<1H OCEAN,175000.0,"Charles W. White Elementary School, South Park View Street, Westlake, Los Angeles, Los Angeles County, California, 90057, United States"
-119.81,36.73,50.0,772.0,194.0,606.0,167.0,2.2206,INLAND,59200.0,"1283, South Modoc Street, Fresno, Fresno County, California, 93706, United States"
-117.79,33.8,11.0,10535.0,1620.0,4409.0,1622.0,6.67,<1H OCEAN,283200.0,"6123, East Cliffway Drive, Orange Park Acres, Orange, Orange County, California, 92869, United States"
-117.8,33.81,14.0,1206.0,142.0,572.0,149.0,8.847,<1H OCEAN,388700.0,"18926, Villa Park Road, Santiago Creek, Orange County, California, 92869, United States"
-121.26,38.69,17.0,3917.0,638.0,1809.0,564.0,5.2586,INLAND,137000.0,"8035, Ruthwood Way, Sacramento County, California, 95662, United States"
-117.65,33.48,6.0,1638.0,188.0,572.0,174.0,13.0502,<1H OCEAN,500001.0,"Delgado Canyon Trail, San Juan Capistrano, Orange County, California, 92675, United States"
-122.27,37.97,10.0,15259.0,2275.0,7266.0,2338.0,6.0666,NEAR BAY,272400.0,"Heavenly Ridge Lane, Richmond, Contra Costa County, California, 94803, United States"
-121.94,37.28,18.0,4356.0,1334.0,1968.0,1245.0,3.6294,<1H OCEAN,240000.0,"36, El Paseo Street, Campbell, Santa Clara County, California, 95008, United States"
-121.9,37.44,4.0,1646.0,408.0,853.0,410.0,5.0821,<1H OCEAN,265500.0,"504, Hamilton Avenue, Milpitas, Santa Clara County, California, 95035, United States"
-118.15,34.05,31.0,3362.0,799.0,1939.0,754.0,3.5089,<1H OCEAN,305800.0,"944, Ridgecrest Street, Monterey Park, Los Angeles County, California, 91754, United States"
-117.5,33.96,12.0,7923.0,1470.0,4861.0,1385.0,4.2985,INLAND,139200.0,"Chaparral Trail, Jurupa Valley, Riverside County, California, 92505, United States"
-121.33,38.64,27.0,2203.0,493.0,1158.0,492.0,2.4342,INLAND,119500.0,"4151, Scranton Circle, Sacramento County, California, 95608, United States"
-115.99,33.4,15.0,1945.0,536.0,515.0,273.0,2.0109,INLAND,54300.0,"Imperial County, California, United States"
-117.09,32.68,20.0,2569.0,737.0,2341.0,705.0,2.0114,NEAR OCEAN,104900.0,"835, Palm Avenue, National City, San Diego County, California, 91950, United States"
-118.14,34.7,12.0,1984.0,614.0,1071.0,574.0,1.2532,INLAND,102100.0,"44960, West Kettering Street, Lancaster, Los Angeles County, California, 93534, United States"
-120.9,38.2,16.0,3120.0,641.0,1319.0,526.0,2.0472,INLAND,93200.0,"13050, Camanche Parkway South, South Camanche Shore, Calaveras County, California, 95225, United States"
-121.51,38.5,25.0,4719.0,745.0,1857.0,739.0,5.0371,INLAND,180200.0,"6917, South Land Park Drive, South Land Park, Sacramento, Sacramento County, California, 95831, United States"
-117.32,34.14,32.0,1691.0,353.0,1457.0,329.0,1.8438,INLAND,66600.0,"2717, Cajon Boulevard, San Bernardino, San Bernardino County, California, 92407, United States"
